KTS      S        FD       KD       FT
269      528      0        0        0        
269      527      0        0        0        
269      530      0        0        0        
270      532      0        0        0        
271      531      0        1        1        
272      534      0        1        1        
272      538      0        0        0        
272      537      0        0        0        
272      540      0        0        0        
272      536      0        0        0        
273      541      0        0        0        
273      542      0        0        0        
273      539      0        1        1        
274      544      0        0        0        
275      545      0        0        0        
275      546      0        0        0        
275      548      0        0        0        
276      549      0        0        0        
278      554      0        0        0        
278      555      0        0        0        
279      557      0        0        0        
281      558      0        1        1        
282      561      0        0        0        
282      559      0        1        1        
282      562      0        0        0        
284      563      0        1        1        
284      565      0        0        0        
285      569      0        0        0        
285      568      0        0        0        
285      566      0        1        1        
285      570      0        0        0        
286      567      0        1        1        
288      575      0        0        0        
288      574      0        1        1        
290      577      0        1        1        
290      576      0        1        1        
291      578      0        1        1        
291      581      0        0        0        
291      584      0        0        0        
291      580      0        0        0        
292      579      0        1        1        
292      582      0        1        1        
294      591      0        0        0        
294      589      0        0        0        
294      592      0        0        0        
294      587      0        1        1        
295      593      0        0        0        
295      590      0        1        1        
296      595      0        1        1        
297      596      0        1        1        
298      597      0        1        1        
298      599      0        0        0        
299      600      0        0        0        
300      602      0        0        0        
300      601      0        0        0        
301      603      0        0        0        
303      604      0        1        1        
304      606      0        0        0        
305      609      0        0        0        
306      611      0        0        0        
306      608      0        1        1        
307      615      0        0        0        
308      617      0        0        0        
308      616      0        1        1        
309      619      0        0        0        
309      618      0        1        1        
310      620      0        0        0        
311      621      0        0        0        
312      622      0        0        0        
312      625      0        0        0        
312      623      0        0        0        
313      624      0        1        1        
314      626      0        1        1        
315      631      0        0        0        
315      628      0        1        1        
315      633      0        0        0        
315      629      0        0        0        
316      632      0        1        1        
316      635      0        0        0        
316      630      0        1        1        
317      636      0        0        0        
317      637      0        0        0        
317      638      0        0        0        
319      641      0        0        0        
319      640      0        1        1        
321      642      0        1        1        
321      646      0        0        0        
321      647      0        0        0        
321      643      0        1        1        
321      645      0        0        0        
322      644      0        1        1        
323      649      0        0        0        
323      650      0        0        0        
324      652      0        0        0        
324      651      0        0        0        
325      653      0        0        0        
326      654      0        1        1        
327      656      0        0        0        
327      657      0        0        0        
329      658      0        1        1        
330      659      0        1        1        
330      661      0        0        0        
331      662      0        0        0        
331      664      0        0        0        
331      663      0        0        0        
331      660      0        1        1        
332      665      0        0        0        
334      666      0        1        1        
335      670      0        0        0        
335      667      0        1        1        
336      672      0        0        0        
336      671      0        0        0        
336      669      0        1        1        
339      677      0        0        0        
339      675      0        1        1        
339      674      0        1        1        
340      678      0        0        0        
341      680      0        0        0        
343      681      0        1        1        
343      683      0        0        0        
344      687      0        0        0        
344      686      0        0        0        
345      689      0        0        0        
345      688      0        0        0        
346      691      0        0        0        
347      693      0        0        0        
347      696      0        0        0        
347      694      0        0        0        
347      692      0        0        0        
348      697      0        1        1        
349      699      0        0        0        
350      701      0        0        0        
351      700      0        1        1        
351      703      0        0        0        
352      707      0        0        0        
352      702      0        1        1        
352      705      0        1        1        
352      704      0        1        1        
352      706      0        0        0        
353      708      0        1        1        
353      710      0        0        0        
354      711      0        0        0        
354      713      0        0        0        
356      716      0        0        0        
356      717      0        0        0        
356      718      0        0        0        
357      720      0        0        0        
358      722      0        0        0        
359      723      0        0        0        
360      727      0        0        0        
361      724      0        1        1        
361      725      0        1        1        
361      733      0        0        0        
361      728      0        1        1        
361      726      0        1        1        
362      731      0        1        1        
362      735      0        0        0        
362      736      0        0        0        
363      741      0        0        0        
363      739      0        0        0        
363      737      0        0        0        
364      743      0        0        0        
364      738      0        1        1        
364      744      0        0        0        
365      747      0        0        0        
366      745      0        1        1        
367      748      0        1        1        
368      749      0        1        1        
368      750      0        0        0        
369      755      0        0        0        
369      754      0        0        0        
370      762      0        0        0        
370      760      0        0        0        
370      764      0        0        0        
371      765      0        0        0        
371      761      0        1        1        
372      767      0        0        0        
373      772      0        0        0        
373      770      0        0        0        
373      771      0        0        0        
374      768      0        1        1        
375      773      0        1        1        
377      775      0        1        1        
377      778      0        0        0        
377      776      0        0        0        
378      783      0        0        0        
378      781      0        0        0        
379      784      0        1        1        
379      785      0        0        0        
380      788      0        0        0        
380      787      0        0        0        
381      789      0        0        0        
384      792      0        0        0        
384      791      0        1        1        
387      795      0        0        0        
388      797      0        0        0        
388      796      0        0        0        
389      799      0        0        0        
389      800      0        0        0        
390      802      0        0        0        
390      798      0        1        1        
391      801      0        1        1        
391      803      0        0        0        
392      805      0        0        0        
392      809      0        0        0        
393      813      0        0        0        
393      808      0        1        1        
393      814      0        0        0        
393      807      0        1        1        
393      812      0        0        0        
394      811      0        1        1        
394      816      0        0        0        
395      815      0        1        1        
395      818      0        1        1        
396      823      0        0        0        
396      822      0        0        0        
396      821      0        0        0        
396      819      0        1        1        
398      827      0        0        0        
398      825      0        1        1        
398      824      0        1        1        
398      826      0        0        0        
400      831      0        0        0        
401      832      0        0        0        
401      833      0        0        0        
401      829      0        1        1        
402      835      0        0        0        
403      837      0        0        0        
403      836      0        0        0        
404      839      0        0        0        
405      841      0        0        0        
406      840      0        1        1        
406      842      0        1        1        
406      843      0        0        0        
408      847      0        0        0        
409      848      0        0        0        
410      849      0        1        1        
410      850      0        0        0        
411      851      0        0        0        
412      852      0        0        0        
412      853      0        0        0        
413      854      0        0        0        
414      855      0        0        0        
416      858      0        0        0        
416      856      0        1        1        
418      860      0        1        1        
418      859      0        1        1        
419      861      0        1        1        
419      862      0        0        0        
420      863      0        0        0        
421      864      0        0        0        
422      865      0        1        1        
422      867      0        0        0        
424      868      0        1        1        
425      870      0        0        0        
426      871      0        0        0        
427      874      0        0        0        
427      875      0        0        0        
428      872      0        1        1        
428      873      0        1        1        
428      876      0        0        0        
428      877      0        0        0        
429      878      0        0        0        
430      879      0        0        0        
430      880      0        0        0        
430      881      0        0        0        
431      882      0        0        0        
432      883      0        0        0        
433      884      0        0        0        
434      886      0        0        0        
434      887      0        0        0        
435      889      0        0        0        
435      888      0        0        0        
436      890      0        0        0        
439      894      0        0        0        
439      893      0        1        1        
440      895      0        0        0        
441      897      0        0        0        
441      900      0        0        0        
441      898      0        0        0        
442      899      0        1        1        
442      901      0        0        0        
444      902      0        1        1        
445      903      0        1        1        
445      907      0        0        0        
445      904      0        0        0        
446      911      0        0        0        
446      908      0        0        0        
446      906      0        1        1        
446      910      0        0        0        
447      912      0        0        0        
447      909      0        1        1        
448      913      0        0        0        
449      916      0        0        0        
449      914      0        0        0        
450      917      0        1        1        
451      920      0        0        0        
451      922      0        0        0        
451      918      0        1        1        
451      923      0        0        0        
453      925      0        1        1        
453      926      0        0        0        
454      927      0        0        0        
455      928      0        1        1        
456      929      0        1        1        
457      930      0        1        1        
457      933      0        0        0        
457      931      0        0        0        
459      934      0        1        1        
459      935      0        1        1        
460      936      0        1        1        
460      937      0        0        0        
461      938      0        0        0        
462      939      0        0        0        
464      944      0        0        0        
464      943      0        0        0        
464      940      0        1        1        
465      942      0        1        1        
466      945      0        1        1        
466      948      0        0        0        
466      946      0        0        0        
467      947      0        1        1        
467      955      0        0        0        
467      953      0        0        0        
468      958      0        0        0        
468      954      0        1        1        
468      950      0        1        1        
468      951      0        1        1        
468      949      0        1        1        
470      961      0        0        0        
470      960      0        0        0        
471      962      0        1        1        
472      965      0        0        0        
472      964      0        0        0        
472      966      0        0        0        
472      963      0        1        1        
473      967      0        0        0        
475      969      0        0        0        
477      973      0        0        0        
477      971      0        0        0        
478      972      0        1        1        
479      975      0        0        0        
480      976      0        0        0        
481      977      0        1        1        
481      978      0        0        0        
483      980      0        0        0        
487      984      0        0        0        
488      987      0        0        0        
488      986      0        0        0        
489      988      0        0        0        
489      989      0        0        0        
493      993      0        0        0        
494      995      0        0        0        
495      997      0        0        0        
495      998      0        0        0        
495      994      0        1        1        
496      996      0        1        1        
497      999      0        1        1        
497      1000     0        0        0        


T1_Total_Damage :15.8333
T2_Total_Damage :14.8333
T3_Total_Damage :17.3833
T4_Total_Damage :15.7

R1_Distance :30
R2_Distance :30
R3_Distance :30
R4_Distance :30

 GAME IS A WIN

Total Number of Enemies : 751
Avarage Figth Delay : 0.00266312
Avarage Kill Delay : 0.330226

END OF SIMULATION

 Time taken : 497 time steps
